label,gender,log_mel_0,log_mel_1,log_mel_2,log_mel_3,log_mel_4,log_mel_5,log_mel_6,log_mel_7,log_mel_8,log_mel_9,log_mel_10,log_mel_11,log_mel_12,log_mel_13,log_mel_14,log_mel_15,log_mel_16,log_mel_17,log_mel_18,log_mel_19,log_mel_20,log_mel_21,log_mel_22,log_mel_23,log_mel_24,log_mel_25,log_mel_26,log_mel_27,log_mel_28,log_mel_29,log_mel_30,log_mel_31,log_mel_32,log_mel_33,log_mel_34,log_mel_35,log_mel_36,log_mel_37,log_mel_38,log_mel_39,log_mel_40,log_mel_41,log_mel_42,log_mel_43,log_mel_44,log_mel_45,log_mel_46,log_mel_47,log_mel_48,log_mel_49,log_mel_50,log_mel_51,log_mel_52,log_mel_53,log_mel_54,log_mel_55,log_mel_56,log_mel_57,log_mel_58,log_mel_59,log_mel_60,log_mel_61,log_mel_62,log_mel_63,log_mel_64,log_mel_65,log_mel_66,log_mel_67,log_mel_68,log_mel_69,log_mel_70,log_mel_71,log_mel_72,log_mel_73,log_mel_74,log_mel_75,log_mel_76,log_mel_77,log_mel_78,log_mel_79,log_mel_80,log_mel_81,log_mel_82,log_mel_83,log_mel_84,log_mel_85,log_mel_86,log_mel_87,log_mel_88,log_mel_89,log_mel_90,log_mel_91,log_mel_92,log_mel_93,log_mel_94,log_mel_95,log_mel_96,log_mel_97,log_mel_98,log_mel_99,log_mel_100,log_mel_101,log_mel_102,log_mel_103,log_mel_104,log_mel_105,log_mel_106,log_mel_107,log_mel_108,log_mel_109,log_mel_110,log_mel_111,log_mel_112,log_mel_113,log_mel_114,log_mel_115,log_mel_116,log_mel_117,log_mel_118,log_mel_119,log_mel_120,log_mel_121,log_mel_122,log_mel_123,log_mel_124,log_mel_125,log_mel_126,log_mel_127,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39
neutral,1,-59.803467,-51.998745,-48.365303,-50.85465,-52.27853,-51.93355,-52.009247,-52.04467,-52.746517,-53.96371,-53.43657,-53.131516,-53.029743,-52.754852,-53.446068,-53.967705,-54.085938,-55.936768,-57.532207,-57.370796,-58.49627,-58.91154,-58.921215,-59.854195,-60.886353,-61.437096,-61.62839,-61.44744,-61.43489,-61.307697,-60.98304,-61.756866,-61.795376,-61.261063,-60.48348,-59.859818,-60.347694,-60.922657,-60.521553,-60.060413,-60.464165,-60.20096,-60.041218,-60.503742,-60.40872,-60.300907,-61.18552,-61.58917,-62.779938,-62.369442,-62.23893,-62.693745,-63.180836,-63.0181,-63.108784,-62.89152,-61.66448,-61.2101,-61.23394,-61.22723,-62.382298,-63.64521,-64.055435,-64.695465,-64.19868,-63.96525,-63.214706,-62.91178,-63.382484,-62.806667,-63.77077,-65.34178,-67.32388,-68.62449,-67.51323,-66.967545,-67.73973,-68.69796,-68.76988,-69.22127,-69.39711,-69.35717,-69.35274,-68.393814,-66.920525,-66.00345,-66.544556,-66.89288,-67.434555,-68.096634,-68.44588,-68.82303,-69.150986,-69.969986,-70.60748,-71.104256,-70.563194,-70.14053,-69.79511,-70.05138,-69.44353,-68.65842,-68.766075,-69.327774,-69.69454,-69.5909,-68.887085,-69.17301,-69.317764,-69.24776,-69.560585,-70.49901,-70.73511,-70.86427,-71.1663,-71.86881,-72.6982,-73.43415,-73.77205,-74.067375,-74.51181,-75.02234,-75.29577,-75.40728,-75.50499,-75.81677,-76.1385,-76.14738,-726.2172,68.54142,3.2933972,12.2053,5.5102777,13.667408,-2.9838285,3.0980291,-3.3108134,-1.5643845,-7.8616524,-2.1242816,2.849204,-2.6678064,0.9590202,1.6281663,-2.736689,0.25424102,2.6753771,-1.7611655,-1.8864743,-0.97562,-0.37943727,0.40027294,-3.0440438,-2.901258,-0.10924813,-0.86356527,-3.3332694,-1.9784652,0.4570815,-1.3991095,-2.9268553,0.0139566725,-0.49073377,-0.5709055,0.040399365,-1.2072175,-1.5949817,-1.4364873
neutral,1,-59.250248,-51.69073,-47.518513,-49.368298,-50.728497,-51.37115,-51.50096,-50.471695,-51.44971,-52.749863,-52.73353,-52.42155,-52.137115,-51.728283,-52.67283,-53.905075,-53.86317,-55.251247,-56.528877,-57.0636,-57.418617,-57.487396,-58.714237,-59.536415,-60.059784,-60.832436,-62.07197,-61.542645,-61.064976,-61.452538,-60.926792,-61.20202,-61.57609,-61.546444,-59.970116,-58.999428,-60.137917,-60.61656,-59.939404,-59.60869,-59.529503,-59.315765,-59.09052,-59.43534,-59.02154,-59.463943,-60.335632,-60.169216,-61.88128,-62.003475,-61.845486,-62.011482,-62.278416,-61.834515,-62.106537,-62.204617,-61.38343,-61.052517,-60.7099,-60.46505,-61.09536,-62.37837,-62.3257,-63.2945,-62.61008,-62.328598,-62.055847,-61.637444,-61.971447,-61.62864,-62.213047,-63.36509,-65.64761,-67.816284,-66.86931,-65.49924,-65.686584,-67.00543,-67.69299,-68.634605,-69.309784,-69.607414,-69.24272,-68.184616,-66.70923,-65.79931,-65.91314,-66.65599,-67.6263,-68.36631,-68.84578,-68.87802,-69.09548,-69.825554,-70.18615,-70.21507,-69.834206,-69.204544,-68.9209,-69.354324,-69.1856,-69.17241,-68.75813,-68.56843,-68.47781,-68.839584,-68.6135,-68.32603,-68.48213,-69.1142,-69.5052,-70.014046,-70.563194,-70.571785,-71.13692,-71.86114,-72.518364,-73.206055,-73.573044,-73.89321,-74.29988,-74.85684,-75.03569,-75.2455,-75.47853,-75.70738,-76.08824,-76.13649,-719.1283,70.20157,1.168397,13.122543,7.83695,14.41129,-4.111359,4.468973,-3.5393667,-3.6586075,-7.648504,-1.4770776,3.0318213,-2.4618678,0.5947343,0.9784503,-2.836164,0.0738156,1.759312,-2.0631857,-2.3056278,-0.6622538,-0.94788104,0.49746627,-1.692577,-3.471765,-0.26927555,-0.77677804,-4.0910745,-1.2800431,0.27546015,-2.52147,-2.9876728,0.409735,-0.48418438,-1.3983907,0.2552034,-0.9849785,-2.093061,-1.040791
neutral,1,-59.81311,-52.08375,-47.35201,-49.68502,-51.59499,-50.845943,-50.43974,-50.317276,-50.646072,-51.645767,-51.97965,-51.90119,-51.414883,-52.15953,-53.198875,-52.74218,-52.700798,-55.218285,-56.329353,-55.25537,-56.48649,-57.566856,-58.108982,-58.80166,-59.522858,-59.83147,-60.926163,-61.02831,-60.45833,-60.27408,-60.151722,-60.438507,-60.107677,-59.725327,-58.456802,-57.949154,-59.49091,-59.608337,-59.40546,-59.78406,-59.611755,-59.310844,-59.137253,-59.115013,-59.14852,-59.840767,-60.065273,-60.60644,-61.87353,-62.116337,-61.874275,-61.98848,-62.385536,-61.885273,-61.982136,-61.991093,-60.94451,-60.370968,-60.6137,-61.549522,-62.609196,-63.419018,-63.373592,-63.951763,-63.31054,-62.92801,-61.98192,-61.250324,-61.450466,-61.550827,-62.586536,-63.996742,-65.74132,-66.91095,-66.49457,-66.0958,-66.669,-67.04952,-67.030495,-67.49494,-67.50509,-67.47321,-67.44994,-66.76273,-65.98689,-65.79171,-66.5281,-66.80916,-67.39384,-68.01524,-68.65054,-68.719215,-68.603546,-69.293755,-69.96787,-70.52293,-70.11208,-69.26475,-68.8797,-69.10277,-69.351875,-68.86401,-68.45276,-68.43016,-68.86196,-68.99971,-68.553474,-68.13593,-68.06424,-68.49055,-68.94087,-69.43993,-69.50339,-69.73256,-69.93886,-70.72852,-71.86483,-72.39597,-73.02143,-73.39617,-73.51223,-73.81572,-73.84905,-73.91429,-74.01904,-74.30159,-74.8494,-75.23706,-714.9957,69.68935,3.9245636,11.92419,6.421723,11.011615,-2.8781035,4.5095577,-4.476109,-2.6715496,-7.4992833,-2.9622655,1.8734846,-2.912889,0.52569187,1.3727965,-2.3648312,-2.0204957,1.6025525,-1.5617238,-3.7207894,-1.8949177,0.37380674,1.2185683,-2.7771025,-2.725419,-0.8127444,-0.5070557,-2.857712,-1.1507949,-0.0021191328,-0.9091517,-3.0459552,-0.37329432,-0.8491452,-0.9221047,-0.17031968,-1.1444225,-1.7256125,-1.4505606
neutral,1,-58.588886,-49.9073,-46.061813,-48.696877,-51.196545,-50.929356,-50.091232,-49.722263,-50.91097,-52.337494,-51.42226,-51.14515,-51.489487,-52.128033,-52.321075,-51.65253,-52.55663,-55.190693,-56.39799,-55.468605,-56.607014,-57.34009,-58.174446,-59.037476,-59.101162,-59.935574,-61.729893,-61.09782,-60.065258,-60.18569,-60.62013,-61.440166,-61.03275,-60.361485,-58.726837,-57.881397,-59.262466,-59.184303,-58.82944,-58.82379,-58.77699,-58.803993,-58.48509,-58.993263,-58.606133,-59.048145,-59.552277,-60.140022,-61.946426,-62.16395,-61.964386,-62.12782,-62.714607,-62.19961,-62.298817,-61.792793,-61.22489,-60.77286,-60.80967,-61.515194,-62.544075,-63.47909,-63.16919,-63.51954,-63.349735,-62.494823,-62.024498,-61.905586,-62.28741,-62.18324,-62.540237,-63.632668,-64.90465,-66.09981,-65.99145,-65.87918,-65.97523,-66.328926,-66.7224,-67.02848,-67.06553,-67.101006,-66.85788,-65.933945,-65.66877,-65.73016,-65.99794,-66.43683,-67.40256,-68.14109,-68.38521,-68.07896,-68.0081,-67.98031,-68.57423,-69.64764,-69.33621,-68.46305,-68.00936,-68.12999,-68.66805,-67.89413,-67.529274,-67.74248,-67.544334,-67.88512,-67.853165,-67.41238,-67.65683,-67.929245,-68.37071,-68.89524,-69.16793,-69.142204,-69.39172,-69.92804,-70.60079,-71.43924,-72.04448,-72.35266,-72.2275,-72.48189,-73.16116,-73.663055,-74.02625,-74.355156,-74.86405,-74.94158,-710.9753,67.56489,5.7822404,13.230726,6.190846,12.628252,-1.6751693,5.6574936,-4.9506335,-3.4775453,-7.4165564,-1.937004,2.2715254,-0.6112552,0.17463188,1.3954356,-2.3914657,-0.6653379,1.7429572,-0.4950685,-3.0143747,-0.9791334,0.534614,0.2684628,-2.3651779,-2.6703413,-1.3975949,-0.04393415,-2.1590412,-1.5748216,-0.4038061,-1.3296505,-2.5134048,-0.19027619,-0.6459489,-0.5539187,0.4592986,-1.5800844,-1.6476822,-1.5095106
calm,1,-61.595856,-54.037544,-50.012566,-51.77663,-53.201454,-52.520008,-53.137978,-53.270943,-53.864563,-54.79004,-54.901108,-54.686108,-54.7069,-53.72418,-54.436195,-56.48955,-57.379677,-57.884094,-58.88249,-59.710167,-61.188522,-61.155197,-61.48264,-62.765472,-62.616375,-63.179005,-64.90778,-64.711006,-63.72349,-63.605827,-63.67426,-64.69885,-64.465866,-63.754982,-63.027367,-62.74947,-63.38127,-63.857464,-63.305557,-62.82728,-63.369236,-62.718216,-63.27675,-63.229527,-63.26301,-63.841038,-63.920826,-64.353516,-65.708626,-65.46747,-65.80963,-66.180115,-66.39815,-65.699684,-65.77926,-65.86424,-65.107765,-64.75979,-64.14707,-64.399864,-65.13518,-66.27301,-66.92133,-67.96486,-67.87432,-67.90198,-67.25727,-66.79421,-66.92759,-66.67194,-67.490776,-68.65176,-69.93153,-70.64909,-71.34834,-71.3913,-71.28642,-71.056625,-71.25883,-72.104645,-72.23911,-72.462364,-71.80177,-70.61439,-69.49816,-69.11719,-69.53103,-71.09503,-72.2399,-72.807526,-72.90045,-73.31096,-73.1193,-73.239365,-73.8846,-74.9233,-74.28264,-73.64429,-73.625275,-73.096176,-72.827156,-72.56783,-72.65645,-72.51659,-72.90989,-72.88242,-72.35575,-72.69956,-72.981865,-72.50944,-72.90277,-73.50526,-73.43427,-73.586845,-74.83632,-75.30538,-75.8138,-77.06863,-77.822174,-78.19037,-78.25255,-78.6522,-78.912094,-79.41957,-79.81944,-80.2761,-80.48844,-80.63613,-759.92175,75.78352,6.0236044,14.557394,6.4541883,14.631508,-3.0045512,4.6209702,-5.200016,-0.70743006,-7.7902875,-3.5649483,2.18097,-1.8324069,-0.3502733,0.8292604,-2.5235536,-0.66125244,2.9179912,-1.9391867,-3.0332398,-0.2933078,-0.24490705,-0.5406663,-2.9568317,-2.1041048,-1.4002062,-0.92538905,-3.7227933,-1.9921644,0.20646289,-2.1885817,-2.8355002,0.4637458,-1.0191673,-1.4114405,0.3504332,-1.5198917,-1.2501125,-0.61385155
calm,1,-60.707882,-51.026726,-46.46765,-48.581276,-51.60888,-50.40131,-51.33804,-51.38008,-50.804977,-51.717182,-52.222553,-52.608624,-52.67332,-52.041264,-52.292747,-52.675156,-54.03034,-56.003616,-56.499393,-55.883045,-57.740032,-58.614773,-58.301983,-58.62327,-59.890324,-60.656578,-61.95428,-62.19647,-61.14298,-60.85257,-61.12029,-62.255245,-62.2542,-61.61666,-60.263905,-59.79631,-61.18566,-61.073666,-60.737976,-60.234013,-60.13387,-60.136696,-59.823376,-60.644382,-60.47864,-60.598564,-61.228317,-61.520943,-63.42693,-63.297142,-62.85778,-63.258026,-63.590675,-62.89223,-63.269196,-63.317123,-62.61788,-61.91334,-62.143803,-62.64394,-63.638973,-64.86805,-65.114265,-66.14116,-66.34164,-65.915535,-65.335,-65.35628,-66.03338,-65.79472,-66.44793,-67.31928,-68.5793,-69.548836,-70.15778,-69.89215,-69.48746,-69.38804,-69.93358,-70.11892,-70.44645,-70.10403,-69.748726,-69.0861,-68.52992,-68.682884,-68.63134,-69.32318,-70.591354,-71.499275,-71.72938,-71.48778,-71.0914,-71.26628,-71.85322,-72.52619,-72.34012,-71.893295,-71.402504,-71.05744,-70.76969,-70.36468,-69.681465,-70.204445,-70.2943,-70.63073,-70.789505,-70.94873,-70.85974,-70.87754,-71.02409,-71.42965,-71.5068,-71.69806,-72.770874,-73.85656,-74.46209,-75.29218,-75.82054,-76.25613,-76.41591,-76.53037,-76.78069,-77.10507,-77.184845,-77.27768,-77.41846,-77.42795,-735.0066,79.09305,8.14105,11.413549,5.1741233,15.393285,-2.7520719,2.9645836,-5.388971,-1.6918324,-5.8528347,-4.043288,3.0046408,-1.0366162,-0.06775643,0.08821334,-2.2095816,-1.455977,2.5682306,-1.5963124,-2.6786842,-1.4108759,0.11890569,-0.12726344,-2.8479033,-1.7715892,-1.8862902,-0.7911622,-3.215491,-2.1809144,0.2412327,-2.247445,-2.2200978,-0.24941176,-0.9758897,-0.95585364,-0.25904387,-2.15288,-1.973075,-1.6481355
calm,1,-60.06758,-49.364693,-45.04753,-48.044598,-51.529778,-50.018368,-49.94861,-50.722595,-51.783142,-52.202934,-51.825874,-52.890186,-53.425354,-52.084526,-52.441376,-53.10392,-53.525444,-55.190006,-56.183605,-55.785606,-57.779503,-58.351276,-58.682964,-59.722187,-60.637115,-60.61119,-61.360325,-61.3715,-61.269093,-60.59091,-60.27089,-61.532818,-61.228107,-59.8563,-59.50777,-59.36246,-60.050323,-60.567616,-60.115414,-59.904827,-60.165203,-60.430256,-60.645523,-60.306004,-60.280857,-60.488934,-60.425213,-61.600594,-63.458485,-63.610397,-64.38966,-64.42741,-63.762794,-63.500927,-64.17619,-63.11613,-62.23382,-61.557465,-61.15369,-62.349438,-63.41506,-64.54262,-64.915344,-65.96113,-65.93604,-65.947426,-65.10696,-64.55968,-64.16678,-64.27251,-64.77331,-65.82151,-66.94076,-67.78022,-68.26516,-68.87395,-68.22143,-68.31036,-69.01419,-69.62188,-70.30577,-70.17042,-69.73528,-68.83084,-68.09272,-67.97243,-68.04887,-68.871864,-70.05531,-70.941154,-70.9103,-70.6057,-70.86725,-71.72721,-72.97644,-73.21049,-73.27891,-73.19429,-72.26787,-71.18654,-70.82697,-70.331436,-69.91163,-70.42981,-70.8432,-70.865005,-70.33531,-70.30227,-70.3207,-70.48147,-70.65298,-71.55805,-72.22358,-72.70571,-73.24434,-73.92266,-75.09853,-76.05599,-76.88657,-77.50739,-77.572174,-77.24793,-77.00306,-77.39366,-77.78242,-78.32503,-79.365486,-79.9602,-733.5249,81.58986,4.8633575,14.423687,5.2676888,13.96856,-3.0856168,7.1732454,-4.8214383,-0.9674488,-6.2504735,-3.8666399,3.3255188,-1.6680717,1.9813907,0.96502507,-2.9701672,0.92509615,2.6618712,-2.686702,-4.089702,-1.142779,-0.041476216,0.6396041,-4.437098,-1.978665,-1.6683794,-0.1296159,-2.648198,-1.7407794,-0.24314992,-1.4994994,-3.4421828,1.0794884,-1.8406905,-1.1412957,-0.54689205,-1.8944058,-1.67383,-0.97683465
calm,1,-58.804764,-48.54357,-44.328377,-47.4206,-51.28842,-49.20235,-48.32535,-49.833206,-51.589,-51.63135,-50.529095,-51.348507,-52.204155,-51.32929,-51.976387,-52.252213,-52.720943,-54.617657,-55.682037,-55.390236,-57.62289,-58.718815,-58.296574,-58.97757,-59.831314,-59.796036,-60.65921,-60.76788,-60.833984,-60.56631,-59.886127,-61.237442,-60.98175,-59.716217,-58.85385,-58.828136,-59.89973,-60.140636,-59.34751,-59.532784,-59.72501,-60.0155,-60.17138,-59.55711,-59.915417,-59.74819,-59.63804,-61.427074,-62.718384,-62.764187,-63.255543,-63.815796,-63.102715,-63.08187,-63.17825,-62.209606,-61.525105,-61.473244,-61.049618,-62.26974,-63.66485,-64.74678,-65.02058,-65.459946,-65.013824,-65.32003,-64.69909,-64.448006,-64.12401,-64.502945,-64.868126,-65.62536,-66.553055,-67.618866,-68.31422,-68.41662,-68.38425,-68.76147,-68.93509,-69.37509,-70.1636,-69.97972,-69.69354,-69.2139,-68.71127,-68.50022,-68.658554,-68.78948,-70.24151,-71.19125,-71.41393,-71.06739,-70.98248,-71.59252,-72.5528,-73.49197,-73.10894,-71.828964,-70.86145,-70.58099,-70.17169,-70.185905,-69.90694,-70.19696,-70.88163,-70.38065,-69.79707,-69.94482,-69.78547,-69.99761,-70.46533,-71.00035,-71.28994,-72.20857,-72.9409,-73.548935,-73.92312,-75.31947,-75.50966,-75.76623,-76.30312,-76.45651,-76.21935,-76.37855,-76.710976,-77.31621,-78.306175,-78.94309,-728.363,82.324936,7.5005765,12.542465,6.7881255,14.805659,-2.9095807,6.9378386,-4.8443394,-1.8469232,-5.6877103,-3.6666536,2.2403512,-1.4234432,1.2192736,1.1254897,-2.7243207,0.4126956,2.779966,-1.6963865,-3.6588929,-0.6342617,-0.37053517,0.9723827,-4.102185,-2.8252192,-1.5755267,-0.5603831,-1.8017431,-1.60203,-0.63597643,-0.9145214,-2.752013,0.36075675,-1.9869834,-1.1664827,-0.4268781,-2.1698258,-1.7610772,-0.40719292
calm,1,-61.605064,-50.531902,-46.98213,-50.918335,-54.589466,-52.545704,-53.586735,-54.08039,-53.62664,-54.671753,-54.82534,-54.56616,-55.810047,-55.34146,-54.716866,-55.497925,-56.676945,-57.969547,-59.286594,-59.985794,-60.91293,-60.71196,-61.121387,-61.982277,-62.04535,-62.786537,-64.978226,-64.90066,-64.59403,-64.290565,-63.86172,-65.13141,-65.498436,-64.8872,-63.722263,-63.008373,-64.089355,-64.615974,-63.88748,-63.51658,-63.376534,-63.520508,-64.013664,-64.3331,-64.30877,-64.59614,-64.992134,-64.885666,-66.81242,-67.068054,-66.86847,-66.95861,-66.852615,-66.159325,-66.25076,-66.27742,-65.284515,-64.361115,-64.65063,-66.24671,-67.55279,-68.86752,-68.70768,-69.531876,-69.56478,-69.04909,-69.031364,-68.89369,-69.38815,-69.19861,-69.9893,-71.31043,-72.35066,-73.551956,-73.48754,-72.88699,-71.376175,-70.7471,-71.66714,-72.53808,-73.77791,-74.32386,-73.890884,-73.322235,-73.20453,-73.138405,-72.51068,-72.323296,-72.71361,-73.24046,-73.86357,-74.66354,-75.56549,-75.29952,-75.41442,-76.20003,-76.471115,-76.144455,-75.61106,-74.6315,-73.706154,-73.25215,-73.535,-74.080765,-74.49831,-74.3361,-74.24064,-74.44241,-74.41513,-74.21551,-74.52989,-74.52897,-74.650314,-75.37663,-76.16592,-76.91964,-77.14038,-78.25135,-79.28198,-80.014435,-80.12901,-80.70158,-80.79125,-80.99778,-81.219444,-81.68388,-82.25763,-82.40543,-771.62524,83.32755,9.759607,14.268048,6.201726,16.020977,-2.8468983,4.47025,-5.536262,0.8787948,-5.348249,-3.029556,2.340573,0.6652834,1.3866222,-0.022842824,-2.4285927,0.24819545,2.2790198,-1.0718266,-0.17045927,-2.293886,0.008647174,2.5945902,-3.9040556,-2.8804717,-0.22999462,-0.63468814,-3.3271015,-1.5811127,0.17730476,-1.4821044,-1.436423,0.69877565,-1.6221272,-0.73856694,-0.6342772,-1.8994279,-2.5306485,-2.0102646
calm,1,-61.416515,-50.92044,-45.780098,-48.277073,-52.241642,-51.396423,-50.93154,-50.75639,-50.992428,-52.19391,-51.617966,-51.68254,-52.353703,-52.60903,-52.88336,-52.64057,-52.827293,-55.168102,-56.442154,-55.517868,-56.892307,-57.149002,-57.536976,-58.571102,-59.031155,-59.993423,-61.87096,-61.228756,-60.581844,-60.8622,-60.875656,-61.960583,-62.143745,-61.21263,-60.2125,-59.750103,-60.442696,-60.561176,-59.844673,-59.35959,-59.775013,-59.888016,-59.800274,-60.417698,-59.68604,-59.96285,-60.289303,-60.880714,-63.083256,-62.93321,-63.047237,-63.36687,-63.461224,-62.83309,-63.236546,-63.45378,-61.994625,-60.940586,-61.167477,-62.10755,-63.20206,-64.34999,-64.8492,-65.87672,-65.750114,-65.46368,-65.13468,-64.90169,-65.17834,-65.13147,-65.970856,-67.23299,-68.53612,-69.05915,-68.735275,-68.49114,-68.10895,-67.848366,-68.35908,-69.02021,-69.954865,-70.37649,-69.8865,-69.5962,-69.53481,-69.31926,-68.97764,-68.747856,-69.36298,-70.38213,-71.06406,-71.42281,-71.975235,-72.225784,-72.61308,-72.97042,-73.067055,-72.94797,-71.95451,-70.81066,-70.607834,-70.18409,-69.626945,-69.96355,-70.26876,-69.7828,-70.24771,-70.95879,-70.29793,-69.93559,-70.59789,-70.89207,-71.231705,-72.087524,-72.85693,-74.08868,-75.49983,-76.97232,-77.630684,-78.06391,-78.33916,-78.68375,-78.56936,-78.87684,-79.15226,-79.344246,-79.91072,-80.02643,-733.9896,82.99158,3.7967932,13.411559,3.1084962,16.039553,-5.652945,5.5606713,-7.840987,-1.1772105,-5.728787,-4.109694,3.882382,-1.043491,1.0040574,-1.4276099,-2.603616,-0.43864208,1.8452338,-2.6793857,-1.474066,-1.8256137,-0.25426897,1.7353026,-4.2389956,-2.1476488,-0.53182375,-0.10767619,-3.4672797,-1.6796224,-0.39436305,-2.1952236,-2.358054,-0.26949847,-0.910776,-0.97108686,-1.1833144,-2.2724657,-2.1504445,-2.1373332
